                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3575,                 1.1751,                 1.8997,                0.75406,                0.76755,                0.78006,                0.49264,                 1.2284,                  1.122,                 1.7401,               0.004753,               0.004753,               0.004753
                     55,                 1.3012,                 1.1681,                 1.8594,                0.78016,                0.77891,                0.80545,                0.51717,                 1.1866,                 1.0823,                 1.7101,               0.004654,               0.004654,               0.004654
                     56,                 1.2573,                 1.1512,                 1.8041,                0.81463,                0.75979,                0.80452,                0.51538,                 1.1675,                 1.0643,                  1.685,               0.004555,               0.004555,               0.004555
                     57,                 1.2266,                 1.1206,                 1.7967,                0.87496,                0.72665,                0.81263,                0.52098,                 1.1652,                  1.036,                 1.6744,               0.004456,               0.004456,               0.004456
                     58,                  1.262,                 1.0882,                 1.8083,                0.80188,                0.75972,                0.80932,                0.51446,                 1.1707,                 1.0543,                 1.6709,               0.004357,               0.004357,               0.004357
                     59,                 1.4721,                 1.5643,                 1.9457,                0.78067,                0.79204,                0.82171,                 0.5187,                 1.1629,                 1.0376,                 1.6701,               0.004258,               0.004258,               0.004258
                     60,                  1.293,                 1.1497,                 1.8139,                0.86253,                0.76795,                0.82918,                0.53676,                 1.1351,                0.99015,                 1.6642,               0.004159,               0.004159,               0.004159
                     61,                 1.2804,                  1.112,                 1.8166,                0.89586,                0.78274,                0.85405,                0.55858,                 1.1136,                0.97539,                 1.6467,                0.00406,                0.00406,                0.00406
                     62,                 1.2167,                  1.064,                 1.7587,                 0.8738,                0.81364,                0.85848,                0.56683,                 1.0986,                 0.9593,                 1.6416,               0.003961,               0.003961,               0.003961
                     63,                 1.1754,                 1.0106,                 1.7243,                0.86673,                0.78385,                0.83429,                0.56495,                 1.1087,                0.98872,                 1.6442,               0.003862,               0.003862,               0.003862
